Yaw_Set_ID,WD,WS,TI,Farm_Power_kW,Yaw_T0,Power_T0,Yaw_T1,Power_T1,Yaw_T2,Power_T2,Yaw_T3,Power_T3
4,270.0,11.0,0.05,12278.506895035716,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,1350.9677261682552,0.0,2633.9597919892744
4,270.0,11.0,0.08750000000000001,13247.945267991608,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,2078.5838468018733,0.0,2875.7820443115493
4,270.0,11.0,0.125,14048.317382378147,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,2618.812977257095,0.0,3135.925028242865
4,270.0,11.0,0.16250000000000003,14705.604139349049,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,3042.5859857419173,0.0,3369.4387767289454
4,270.0,11.0,0.2,15195.19100501225,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,3331.521767990685,0.0,3570.089860143379
4,272.5,8.0,0.05,5256.413106014527,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,697.7838270280663,0.0,1345.7195447306494
4,272.5,8.0,0.08750000000000001,5456.275231382866,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,911.3148182459682,0.0,1332.050678881086
4,272.5,8.0,0.125,5637.774067882452,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,1078.0714113289866,0.0,1346.7929222976536
4,272.5,8.0,0.16250000000000003,5797.847283475832,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,1199.650472922957,0.0,1385.2870762970638
4,272.5,8.0,0.2,5945.825449362053,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,1301.9148482688115,0.0,1431.0008668374307
4,272.5,9.0,0.05,7534.6829850672275,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1015.4636218354034,0.0,1927.1991802466857
4,272.5,9.0,0.08750000000000001,7783.988539871067,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1285.334486659325,0.0,1906.6338702266028
4,272.5,9.0,0.125,8043.221262549905,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1521.726891988378,0.0,1929.4741875763884
4,272.5,9.0,0.16250000000000003,8287.291456056726,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1707.816886694055,0.0,1987.454386377532
4,272.5,9.0,0.2,8508.184331655037,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1861.0652607539578,0.0,2055.0988879159395
4,272.5,10.0,0.05,10291.131645671147,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,1379.410114844665,0.0,2630.21831634125
4,272.5,10.0,0.08750000000000001,10647.60360085604,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,1763.4281809646557,0.0,2602.6722054061524
4,272.5,10.0,0.125,11024.335668449039,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,2108.1054191366597,0.0,2634.7270348271477
4,272.5,10.0,0.16250000000000003,11353.242224217815,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,2356.6457049545834,0.0,2715.093304777999
4,272.5,10.0,0.2,11631.283187682731,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,2541.1280990254613,0.0,2808.6518741720374
4,272.5,11.0,0.05,13650.54967911385,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,1886.8851255514235,0.0,3470.08517668424
4,272.5,11.0,0.08750000000000001,14140.906015215518,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,2396.00463068152,0.0,3451.3220076558123
4,272.5,11.0,0.125,14622.81737485123,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,2830.4623921164994,0.0,3498.7756058565465
4,272.5,11.0,0.16250000000000003,15059.441673659605,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,3163.8958298882,0.0,3601.9664668932182
4,272.5,11.0,0.2,15419.361922326736,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,3405.145317690534,0.0,3720.637227758016
4,275.0,8.0,0.05,5925.850918474708,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,1109.5840115489764,0.0,1603.3571726699201
4,275.0,8.0,0.08750000000000001,5940.208305388318,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,1173.91382825166,0.0,1553.3847428808454
4,275.0,8.0,0.125,5976.414630193665,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,1246.1617392089263,0.0,1517.3431567289276
4,275.0,8.0,0.16250000000000003,6037.930428552261,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,1317.2371656631146,0.0,1507.7835286333352
4,275.0,8.0,0.2,6109.681479303503,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,1380.3015601647924,0.0,1516.4701848828986
4,275.0,9.0,0.05,8459.428012918146,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1569.687817975279,0.0,2297.7200119577287
4,275.0,9.0,0.08750000000000001,8490.867536032983,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1669.6792067951997,0.0,2229.1681462526444
4,275.0,9.0,0.125,8544.815301795228,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1773.6659850512908,0.0,2179.129133758799
4,275.0,9.0,0.16250000000000003,8642.19634565743,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1884.6047061267684,0.0,2165.5714565455232
4,275.0,9.0,0.2,8750.241512809738,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1980.217140605869,0.0,2178.004189218731
4,275.0,10.0,0.05,11598.87697587855,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,2174.392081944894,0.0,3142.981679448424
4,275.0,10.0,0.08750000000000001,11637.365058083655,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,2307.3565780081826,0.0,3048.5052655902405
4,275.0,10.0,0.125,11700.983260391433,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,2439.906910200386,0.0,2979.5731357058135
4,275.0,10.0,0.16250000000000003,11816.242158780198,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,2573.7345785386547,0.0,2961.0043657563106
4,275.0,10.0,0.2,11965.427813419057,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,2705.6453517273585,0.0,2978.279247206467
4,275.0,11.0,0.05,15361.897173083165,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,2929.973622030932,0.0,4138.344174174049
4,275.0,11.0,0.08750000000000001,15414.915232488493,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,3103.734274413802,0.0,4017.6015811965035
4,275.0,11.0,0.125,15503.558666332392,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,3278.6277773749102,0.0,3931.3515120792968
4,275.0,11.0,0.16250000000000003,15645.681123873375,0.0,4519.404307286192,25.0,3774.1750695919936,0.0,3441.9163601310165,0.0,3910.1853868641733
